Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
163		0.1243		0.2370		0.0000		0.7448		0.00011216
164		0.1268		0.2475		0.0000		0.7439		0.00010950
165		0.1259		0.2335		0.0000		0.7447		0.00010684
166		0.1244		0.2382		0.0000		0.7457		0.00010416
167		0.1235		0.2516		0.0000		0.7472		0.00010148
168		0.1244		0.2441		0.0000		0.7406		0.00009879
169		0.1240		0.2511		0.0000		0.7422		0.00009609
170		0.1233		0.2478		0.0000		0.7451		0.00009338
171		0.1226		0.2515		0.0000		0.7427		0.00009067
172		0.1229		0.2490		0.0000		0.7353		0.00008794
173		0.1224		0.2577		0.0000		0.7394		0.00008521
174		0.1217		0.2552		0.0000		0.7401		0.00008247
175		0.1213		0.2463		0.0000		0.7449		0.00007971
176		0.1209		0.2531		0.0000		0.7455		0.00007695
177		0.1207		0.2358		0.0000		0.7477		0.00007417
178		0.1208		0.2438		0.0000		0.7466		0.00007138
179		0.1215		0.2398		0.0000		0.7467		0.00006858
180		0.1208		0.2662		0.0000		0.7394		0.00006577
181		0.1201		0.2439		0.0000		0.7446		0.00006295
182		0.1207		0.2554		0.0000		0.7399		0.00006011
183		0.1226		0.2454		0.0000		0.7435		0.00005725
184		0.1210		0.2687		0.0000		0.7339		0.00005438
185		0.1192		0.2587		0.0000		0.7371		0.00005149
186		0.1198		0.2540		0.0000		0.7432		0.00004859
187		0.1182		0.2473		0.0000		0.7451		0.00004566
188		0.1187		0.2419		0.0000		0.7466		0.00004272
189		0.1185		0.2525		0.0000		0.7465		0.00003975
190		0.1187		0.2505		0.0000		0.7395		0.00003675
191		0.1190		0.2534		0.0000		0.7431		0.00003373
192		0.1182		0.2505		0.0000		0.7424		0.00003068
193		0.1186		0.2570		0.0000		0.7453		0.00002759
194		0.1172		0.2488		0.0000		0.7442		0.00002447
195		0.1178		0.2471		0.0000		0.7450		0.00002130
196		0.1178		0.2470		0.0000		0.7475		0.00001808
197		0.1172		0.2527		0.0000		0.7448		0.00001479
198		0.1174		0.2499		0.0000		0.7458		0.00001141
199		0.1171		0.2494		0.0000		0.7469		0.00000792
200		0.1169		0.2448		0.0000		0.7456		0.00000425
