Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
188		0.1117		0.2664		0.0000		0.6949		0.00004272
189		0.1117		0.2637		0.0000		0.6923		0.00003975
190		0.1110		0.2648		0.0000		0.6922		0.00003675
191		0.1109		0.2663		0.0000		0.6908		0.00003373
192		0.1099		0.2701		0.0000		0.6888		0.00003068
193		0.1099		0.2652		0.0000		0.6931		0.00002759
194		0.1097		0.2652		0.0000		0.6972		0.00002447
195		0.1092		0.2641		0.0000		0.6914		0.00002130
196		0.1091		0.2637		0.0000		0.6958		0.00001808
197		0.1086		0.2635		0.0000		0.6931		0.00001479
198		0.1082		0.2634		0.0000		0.6930		0.00001141
199		0.1080		0.2673		0.0000		0.6909		0.00000792
200		0.1079		0.2634		0.0000		0.6969		0.00000425
