Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
159		0.1395		0.4447		0.0000		0.6358		0.00012273
160		0.1450		0.3853		0.0000		0.6296		0.00012010
161		0.1405		0.4231		0.0000		0.6287		0.00011746
162		0.1412		0.4264		0.0000		0.6316		0.00011482
163		0.1375		0.4452		0.0000		0.6328		0.00011216
164		0.1396		0.4205		0.0000		0.6305		0.00010950
165		0.1426		0.4391		0.0000		0.6268		0.00010684
166		0.1372		0.4331		0.0000		0.6247		0.00010416
167		0.1361		0.4143		0.0000		0.6333		0.00010148
168		0.1356		0.4266		0.0000		0.6293		0.00009879
169		0.1348		0.4348		0.0000		0.6268		0.00009609
170		0.1352		0.4327		0.0000		0.6290		0.00009338
171		0.1348		0.4382		0.0000		0.6322		0.00009067
172		0.1337		0.4101		0.0000		0.6353		0.00008794
173		0.1339		0.4326		0.0000		0.6293		0.00008521
174		0.1331		0.4521		0.0000		0.6322		0.00008247
175		0.1317		0.4062		0.0000		0.6310		0.00007971
176		0.1322		0.4712		0.0000		0.6283		0.00007695
177		0.1325		0.4558		0.0000		0.6356		0.00007417
178		0.1314		0.4574		0.0000		0.6295		0.00007138
179		0.1366		0.4501		0.0000		0.6313		0.00006858
180		0.1335		0.4389		0.0000		0.6303		0.00006577
181		0.1314		0.4316		0.0000		0.6364		0.00006295
182		0.1303		0.4441		0.0000		0.6296		0.00006011
183		0.1308		0.4344		0.0000		0.6330		0.00005725
184		0.1316		0.4627		0.0000		0.6308		0.00005438
185		0.1292		0.4431		0.0000		0.6330		0.00005149
186		0.1281		0.4413		0.0000		0.6306		0.00004859
187		0.1289		0.4450		0.0000		0.6344		0.00004566
188		0.1276		0.4512		0.0000		0.6296		0.00004272
189		0.1275		0.4236		0.0000		0.6352		0.00003975
190		0.1276		0.4383		0.0000		0.6299		0.00003675
191		0.1279		0.4474		0.0000		0.6328		0.00003373
192		0.1283		0.4340		0.0000		0.6316		0.00003068
193		0.1253		0.4300		0.0000		0.6344		0.00002759
194		0.1252		0.4417		0.0000		0.6364		0.00002447
195		0.1259		0.4514		0.0000		0.6361		0.00002130
196		0.1272		0.4411		0.0000		0.6361		0.00001808
197		0.1263		0.4204		0.0000		0.6342		0.00001479
198		0.1243		0.4255		0.0000		0.6342		0.00001141
199		0.1246		0.4370		0.0000		0.6357		0.00000792
200		0.1241		0.4334		0.0000		0.6363		0.00000425
1		2.0036		1.1967		0.0000		0.3300		0.00050000
2		1.5717		0.9683		0.0000		0.4321		0.00049775
3		1.2860		0.7579		0.0000		0.4544		0.00049550
4		1.0725		0.6467		0.0000		0.4717		0.00049324
5		0.8673		0.6034		0.0000		0.4808		0.00049099
6		0.7359		0.5773		0.0000		0.4847		0.00048874
7		0.6843		0.4741		0.0000		0.4754		0.00048648
8		0.6022		0.5769		0.0000		0.5089		0.00048422
9		0.5171		0.6379		0.0000		0.4885		0.00048196
10		0.4716		0.3794		0.0000		0.5036		0.00047970
11		0.4387		0.5151		0.0000		0.5221		0.00047744
12		0.4261		0.4075		0.0000		0.5201		0.00047518
13		0.4041		0.4097		0.0000		0.5399		0.00047292
14		0.4194		0.4335		0.0000		0.4654		0.00047065
15		0.4202		0.3167		0.0000		0.5117		0.00046839
16		0.3914		0.3240		0.0000		0.5451		0.00046612
17		0.3519		0.3526		0.0000		0.5477		0.00046385
18		0.3664		0.3202		0.0000		0.5431		0.00046158
19		0.3333		0.3128		0.0000		0.5556		0.00045931
20		0.3225		0.2997		0.0000		0.5678		0.00045704
21		0.3170		0.2934		0.0000		0.5474		0.00045477
22		0.3000		0.3534		0.0000		0.5835		0.00045249
23		0.2984		0.2757		0.0000		0.5542		0.00045022
24		0.3566		0.6466		0.0000		0.5016		0.00044794
25		0.3471		0.4641		0.0000		0.5369		0.00044566
26		0.3300		0.3308		0.0000		0.5441		0.00044338
27		0.2865		0.3292		0.0000		0.5706		0.00044110
28		0.2755		0.3052		0.0000		0.5679		0.00043882
29		0.2675		0.3130		0.0000		0.5600		0.00043653
30		0.2608		0.3842		0.0000		0.5683		0.00043425
31		0.2763		0.3676		0.0000		0.5511		0.00043196
32		0.2710		0.3144		0.0000		0.5666		0.00042968
33		0.2611		0.2954		0.0000		0.5562		0.00042739
34		0.2511		0.2879		0.0000		0.5690		0.00042510
35		0.2462		0.3283		0.0000		0.5534		0.00042281
36		0.2444		0.3441		0.0000		0.5672		0.00042051
37		0.2383		0.3427		0.0000		0.5798		0.00041822
38		0.2304		0.3549		0.0000		0.5577		0.00041592
39		0.2273		0.3268		0.0000		0.5790		0.00041362
40		0.2250		0.3088		0.0000		0.5647		0.00041133
41		0.2235		0.3506		0.0000		0.5836		0.00040903
42		0.2299		0.3016		0.0000		0.5910		0.00040672
43		0.2342		0.3179		0.0000		0.5760		0.00040442
44		0.2432		0.3401		0.0000		0.5426		0.00040212
45		0.2382		0.3228		0.0000		0.5710		0.00039981
46		0.2291		0.2909		0.0000		0.5693		0.00039750
47		0.2190		0.3385		0.0000		0.5825		0.00039520
48		0.2058		0.3133		0.0000		0.5867		0.00039288
49		0.2067		0.2851		0.0000		0.5807		0.00039057
50		0.2101		0.3528		0.0000		0.5878		0.00038826
51		0.2033		0.2991		0.0000		0.5826		0.00038594
52		0.2004		0.3055		0.0000		0.5841		0.00038363
53		0.2003		0.4034		0.0000		0.5680		0.00038131
54		0.2647		0.3225		0.0000		0.5651		0.00037899
55		0.2465		0.3107		0.0000		0.5720		0.00037667
56		0.2155		0.3193		0.0000		0.5808		0.00037435
57		0.2055		0.4055		0.0000		0.5792		0.00037202
58		0.2960		0.4871		0.0000		0.5667		0.00036970
59		0.2289		0.3509		0.0000		0.5952		0.00036737
60		0.2013		0.3034		0.0000		0.5820		0.00036504
61		0.1990		0.3315		0.0000		0.5921		0.00036271
62		0.2084		0.3123		0.0000		0.5877		0.00036038
63		0.2182		0.3725		0.0000		0.5784		0.00035804
64		0.1969		0.3500		0.0000		0.5954		0.00035571
65		0.1885		0.3657		0.0000		0.5988		0.00035337
66		0.1826		0.3968		0.0000		0.5865		0.00035103
67		0.1798		0.3404		0.0000		0.5904		0.00034869
68		0.1789		0.3768		0.0000		0.5873		0.00034635
69		0.2171		0.5210		0.0000		0.5892		0.00034400
70		0.1989		0.3369		0.0000		0.5725		0.00034165
71		0.1807		0.3861		0.0000		0.6035		0.00033931
72		0.1833		0.3358		0.0000		0.5969		0.00033696
73		0.1759		0.3869		0.0000		0.5962		0.00033460
74		0.1907		0.3109		0.0000		0.5903		0.00033225
75		0.2210		0.3319		0.0000		0.5789		0.00032990
76		0.1854		0.3312		0.0000		0.5967		0.00032754
77		0.1752		0.3323		0.0000		0.5954		0.00032518
78		0.1759		0.4090		0.0000		0.6014		0.00032282
79		0.1696		0.3260		0.0000		0.6028		0.00032045
80		0.1658		0.4038		0.0000		0.5857		0.00031809
81		0.1650		0.3858		0.0000		0.5915		0.00031572
82		0.3004		0.3536		0.0000		0.5293		0.00031335
83		0.3169		0.3931		0.0000		0.5259		0.00031098
84		0.2459		0.3026		0.0000		0.5698		0.00030861
85		0.1992		0.3198		0.0000		0.5879		0.00030624
86		0.1862		0.3145		0.0000		0.5888		0.00030386
87		0.1813		0.3007		0.0000		0.5973		0.00030148
88		0.1714		0.3124		0.0000		0.5992		0.00029910
89		0.1682		0.3223		0.0000		0.5986		0.00029671
90		0.1690		0.3106		0.0000		0.6016		0.00029433
91		0.1656		0.3210		0.0000		0.5971		0.00029194
92		0.1630		0.3327		0.0000		0.6037		0.00028955
93		0.1629		0.3017		0.0000		0.6052		0.00028716
94		0.1631		0.3041		0.0000		0.6061		0.00028477
95		0.1634		0.3480		0.0000		0.5984		0.00028237
96		0.1583		0.3480		0.0000		0.6059		0.00027997
97		0.1570		0.3299		0.0000		0.6073		0.00027757
98		0.1550		0.3323		0.0000		0.6099		0.00027517
99		0.1586		0.3401		0.0000		0.6020		0.00027276
100		0.1590		0.3243		0.0000		0.5964		0.00027035
101		0.1548		0.3129		0.0000		0.6129		0.00026794
102		0.1516		0.3426		0.0000		0.6139		0.00026553
103		0.1529		0.3276		0.0000		0.6085		0.00026312
104		0.1539		0.3430		0.0000		0.6078		0.00026070
105		0.1606		0.3374		0.0000		0.6071		0.00025828
106		0.1630		0.3959		0.0000		0.6132		0.00025586
107		0.1514		0.3585		0.0000		0.6093		0.00025343
108		0.1596		0.3384		0.0000		0.6118		0.00025100
109		0.1562		0.3483		0.0000		0.6050		0.00024857
110		0.1531		0.3581		0.0000		0.6091		0.00024614
111		0.1518		0.3894		0.0000		0.6079		0.00024370
112		0.1464		0.3443		0.0000		0.6058		0.00024126
113		0.1472		0.5285		0.0000		0.5983		0.00023882
114		0.1611		0.3762		0.0000		0.5999		0.00023638
115		0.1469		0.3977		0.0000		0.6084		0.00023393
116		0.1461		0.3713		0.0000		0.6133		0.00023148
117		0.1452		0.4351		0.0000		0.6047		0.00022903
118		0.1423		0.4339		0.0000		0.6139		0.00022658
119		0.1431		0.3824		0.0000		0.6069		0.00022412
120		0.1409		0.4362		0.0000		0.6073		0.00022166
121		0.1402		0.3994		0.0000		0.6070		0.00021919
122		0.1403		0.3898		0.0000		0.6120		0.00021672
123		0.1404		0.3888		0.0000		0.6183		0.00021425
124		0.1387		0.3850		0.0000		0.6116		0.00021178
125		0.1382		0.4093		0.0000		0.6145		0.00020930
126		0.1386		0.3733		0.0000		0.6076		0.00020682
127		0.1398		0.3918		0.0000		0.6182		0.00020434
128		0.1379		0.3929		0.0000		0.6158		0.00020185
129		0.1379		0.3388		0.0000		0.6141		0.00019936
130		0.1373		0.3506		0.0000		0.6089		0.00019687
131		0.1413		0.4073		0.0000		0.6145		0.00019437
132		0.2300		0.4115		0.0000		0.5805		0.00019187
133		0.1601		0.5000		0.0000		0.5927		0.00018937
134		0.1470		0.4055		0.0000		0.6038		0.00018686
