Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
192		0.1053		0.6682		0.0000		0.5799		0.00003068
193		0.1055		0.6744		0.0000		0.5826		0.00002759
194		0.1037		0.6984		0.0000		0.5799		0.00002447
195		0.1053		0.7080		0.0000		0.5802		0.00002130
196		0.1071		0.6887		0.0000		0.5795		0.00001808
197		0.1074		0.7061		0.0000		0.5784		0.00001479
198		0.1090		0.7066		0.0000		0.5759		0.00001141
199		0.1065		0.7026		0.0000		0.5777		0.00000792
200		0.1033		0.7031		0.0000		0.5770		0.00000425
1		1.8277		1.6171		0.0000		0.2765		0.00050000
2		1.3200		1.3113		0.0000		0.3527		0.00049775
3		1.1567		1.2217		0.0000		0.3356		0.00049550
4		1.0767		1.1753		0.0000		0.3851		0.00049324
5		1.0142		1.1703		0.0000		0.3374		0.00049099
6		0.9447		1.0096		0.0000		0.3851		0.00048874
7		0.9024		1.1429		0.0000		0.3516		0.00048648
8		0.8955		0.8480		0.0000		0.4511		0.00048422
9		0.8340		0.7967		0.0000		0.4857		0.00048196
10		0.8082		1.0133		0.0000		0.3737		0.00047970
11		0.7819		0.7801		0.0000		0.4776		0.00047744
12		0.7489		0.7426		0.0000		0.4672		0.00047518
13		0.7373		0.9438		0.0000		0.3663		0.00047292
14		0.7266		0.6758		0.0000		0.4880		0.00047065
15		0.7082		0.6800		0.0000		0.4854		0.00046839
1		1.7274		1.5820		0.0000		0.3122		0.00050000
2		1.3366		1.3805		0.0000		0.3200		0.00049775
3		1.1955		1.5938		0.0000		0.2446		0.00049550
4		1.1095		1.2166		0.0000		0.3460		0.00049324
5		1.0284		1.0238		0.0000		0.3974		0.00049099
6		0.9909		0.9485		0.0000		0.4031		0.00048874
7		0.9514		0.9854		0.0000		0.3919		0.00048648
8		0.9236		1.0550		0.0000		0.3796		0.00048422
9		0.8928		0.9074		0.0000		0.4293		0.00048196
10		0.8556		0.9328		0.0000		0.4051		0.00047970
11		0.8534		0.8813		0.0000		0.4417		0.00047744
